EG74,2,122.82,"RDO"
EGBB,1,136.03,"EGBB"
EGBB,5,121.80,"BIRMINGHAM"
EGBB,6,118.30,"BIRMINGHAM"
EGBB,8,123.98,"BIRMINGHAM"
EGBB,8,131.00,"BIRMINGHAM"
EGBD,11,118.35,"DERBY"
EGBE,3,123.83,"COVENTRY INFORMATION"
EGBF,11,119.03,"BEDFORD"
EGBG,11,122.13,"LEICESTER"
EGBJ,1,127.48,"EGBJ"
EGBJ,6,122.90,"GLOSTER"
EGBJ,8,128.55,"GLOSTER"
EGBK,3,122.70,"SYWELL INFORMATION"
EGBM,11,124.08,"TATENHILL"
EGBN,6,134.88,"NOTTINGHAM"
EGBO,3,123.00,"HALFPENNY GREEN"
EGBP,3,118.43,"KEMBLE"
EGBS,3,118.15,"SHOBDON"
EGBT,2,122.17,"TURWESTON"
EGBW,3,124.03,"WELLESBOURNE"
EGCC,1,121.98,"EGCC"
EGCC,1,128.18,"EGCC"
EGCC,5,121.70,"MANCHESTER"
EGCC,5,121.85,"MANCHESTER"
EGCC,6,118.63,"MANCHESTER"
EGCC,6,119.40,"MANCHESTER"
EGCC,7,121.70,"MANCHESTER"
EGCC,8,118.58,"MANCHESTER"
EGCC,8,121.35,"MANCHESTER"
EGCC,8,135.00,"MANCHESTER"
EGCL,11,122.93,"FENLAND"
EGCS,2,130.30,"STURGATE"
EGCV,11,122.45,"SLEAP"
EGCW,11,128.00,"WELSHPOOL"
EGDI,6,122.10,"MERRYFIELD"
EGDJ,11,124.10,"UPAVON"
EGDL,5,122.10,"LYNEHAM"
EGDL,5,129.47,"LYNEHAM"
EGDL,6,119.22,"LYNEHAM"
EGDL,6,122.10,"LYNEHAM"
EGDL,8,118.42,"LYNEHAM"
EGDL,8,123.40,"LYNEHAM"
EGDL,8,135.15,"LONDON MIL"
EGDL,8,123.30,"LYNEHAM TALKDOWN"
EGDM,5,130.75,"BOSCOMBE"
EGDM,6,130.75,"BOSCOMBE"
EGDM,8,126.70,"BOSCOMBE"
EGDM,8,130.00,"BOSCOMBE"
EGDN,3,128.30,"NETHERAVON INFORMATION"
EGDN,11,128.30,"DZ"
EGDX,1,132.47,"EGDX"
EGDX,6,118.12,"ST ATHAN"
EGDX,8,126.62,"CARDIFF"
EGDX,8,123.30,"ST ATHAN TALKDOWN"
EGDY,5,122.10,"YEOVIL"
EGDY,6,120.80,"YEOVIL"
EGDY,8,127.35,"YEOVIL"
EGFF,1,132.48,"EGFF"
EGFF,6,133.10,"CARDIFF"
EGFF,8,119.15,"CARDIFF"
EGFF,8,125.85,"CARDIFF"
EGGD,1,126.03,"EGGD"
EGGD,6,133.85,"BRISTOL"
EGGD,7,121.93,"BRISTOL"
EGGD,8,125.65,"BRISTOL"
EGGP,1,124.33,"EGGP"
EGGP,5,121.95,"LIVERPOOL"
EGGP,6,126.35,"LIVERPOOL"
EGGP,8,119.85,"LIVERPOOL"
EGGW,1,120.58,"EGGW"
EGGW,5,121.75,"LUTON"
EGGW,6,126.72,"LUTON"
EGGW,6,132.55,"LUTON"
EGGW,7,121.88,"LUTON"
EGHA,11,122.71,"COMPTON"
EGHF,3,118.92,"LEE INFORMATION"
EGHG,3,130.80,"WESTLAND"
EGHG,6,125.40,"WESTLAND"
EGHG,8,130.80,"WESTLAND"
EGHH,1,133.72,"EGHH"
EGHH,5,121.70,"BOURNEMOUTH"
EGHH,6,125.60,"BOURNEMOUTH"
EGHH,8,119.47,"BOURNEMOUTH"
EGHI,1,130.88,"EGHI"
EGHI,6,118.20,"SOUTHAMPTON"
EGHI,8,120.23,"SOLENT"
EGHI,8,122.73,"SOUTHAMPTON"
EGHJ,2,123.25,"BEMBRIDGE"
